class,level,time,latitude,longitude
M,6.5,02 April 2014 at 14:05,14.993,9.686
M,7.3,18 April 2014 at 13:03,246.55,-15.049
M,1.8,06 May 2014 at 09:03,52.569,-15.473
M,1.2,07 May 2014 at 16:29,266.185,9.67
M,5.2,08 May 2014 at 10:07,265.166,9.395
M,1.3,24 May 2014 at 18:35,142.394,-17.28
M,1.3,03 June 2014 at 04:09,298.457,-5.58
M,1.4,06 June 2014 at 19:31,256.849,-13.516
M,1.8,11 June 2014 at 05:34,255.722,-15.166
M,3.0,11 June 2014 at 08:09,153.796,-18.272
M,3.9,11 June 2014 at 21:03,152.464,-18.291
M,2.0,12 June 2014 at 04:21,152.308,-18.255
M,1.8,12 June 2014 at 09:37,256.059,-15.135
M,2.7,12 June 2014 at 10:21,152.269,-18.166
M,1.3,12 June 2014 at 18:13,152.058,-18.096
M,1.1,12 June 2014 at 20:03,195.797,17.555
M,3.1,12 June 2014 at 22:16,256.424,-15.113
M,2.6,13 June 2014 at 07:56,152.125,-18.032
M,1.1,15 June 2014 at 11:39,249.589,-17.51
M,1.4,01 July 2014 at 11:23,268.76,12.775
M,6.5,08 July 2014 at 16:20,164.546,9.376
M,1.2,09 July 2014 at 00:26,164.254,9.127
M,1.5,10 July 2014 at 22:34,254.973,11.77
M,2.5,31 July 2014 at 11:14,239.628,-8.636
M,2.0,01 August 2014 at 14:48,235.193,-9.56
M,1.5,01 August 2014 at 18:13,234.773,-9.67
M,1.3,09 October 2014 at 01:43,98.761,-17.983
M,1.4,09 October 2014 at 01:58,98.972,-17.951
M,1.2,09 October 2014 at 06:59,99.493,-17.881
M,4.3,16 October 2014 at 13:03,256.419,-14.804
M,1.6,18 October 2014 at 07:58,247.647,-13.298
M,3.9,20 October 2014 at 09:11,247.711,-12.977
M,4.5,20 October 2014 at 16:37,247.465,-12.928
M,1.4,20 October 2014 at 19:02,247.377,-12.946
M,1.7,20 October 2014 at 20:04,247.343,-12.951
M,1.2,20 October 2014 at 22:55,247.36,-12.936
M,8.7,22 October 2014 at 01:59,246.884,-13.008
M,2.7,22 October 2014 at 05:17,246.873,-13.033
M,1.1,23 October 2014 at 09:50,246.772,-13.009
M,4.0,24 October 2014 at 07:48,246.371,-13.136
M,4.2,26 October 2014 at 18:15,244.73,-13.664
M,1.9,26 October 2014 at 18:49,244.705,-13.675
M,2.4,26 October 2014 at 20:21,244.684,-13.689
M,7.1,27 October 2014 at 00:34,244.535,-13.742
M,1.3,27 October 2014 at 03:41,244.433,-13.79
M,6.7,27 October 2014 at 10:09,244.291,-13.851
M,1.4,27 October 2014 at 17:40,244.151,-13.941
M,3.4,28 October 2014 at 02:42,243.889,-14.073
M,6.6,28 October 2014 at 03:32,243.849,-14.088
M,1.6,28 October 2014 at 14:06,243.766,-14.257
M,1.2,29 October 2014 at 10:01,243.57,-14.601
M,1.4,29 October 2014 at 14:33,243.325,-14.739
M,1.3,29 October 2014 at 18:50,242.681,-14.855
M,2.3,29 October 2014 at 21:22,242.305,-14.976
M,1.3,30 October 2014 at 00:37,241.853,-15.159
M,3.5,30 October 2014 at 01:35,241.698,-15.233
M,1.2,30 October 2014 at 04:28,241.261,-15.478
M,6.5,03 November 2014 at 22:40,12.722,15.125
M,2.6,04 November 2014 at 08:38,10.886,15.529
M,2.3,04 November 2014 at 09:04,10.77,15.565
M,7.9,05 November 2014 at 09:47,9.897,15.975
M,2.9,05 November 2014 at 19:44,9.826,15.882
M,3.2,06 November 2014 at 01:39,9.875,15.881
M,5.4,06 November 2014 at 03:46,9.943,15.872
M,2.5,06 November 2014 at 22:16,10.295,15.953
M,2.7,07 November 2014 at 02:49,10.37,15.887
M,2.0,07 November 2014 at 04:25,10.401,15.871
M,2.3,09 November 2014 at 15:32,11.007,15.45
M,3.2,15 November 2014 at 12:03,255.721,-13.482
M,3.7,15 November 2014 at 20:46,254.924,-13.579
M,5.7,16 November 2014 at 17:48,253.987,-13.843
M,1.8,01 December 2014 at 06:41,83.817,-19.981
M,1.3,04 December 2014 at 08:10,83.098,-20.345
M,6.1,04 December 2014 at 18:25,83.111,-20.293
M,1.3,04 December 2014 at 19:41,83.108,-20.275
M,1.5,05 December 2014 at 12:25,83.331,-20.099
M,1.5,13 December 2014 at 05:20,215.322,-9.85
M,1.6,14 December 2014 at 19:33,260.019,-13.492
M,1.5,17 December 2014 at 01:10,249.44,-16.048
M,1.1,17 December 2014 at 01:50,215.916,-9.953
M,8.7,17 December 2014 at 04:51,248.962,-16.108
M,1.4,17 December 2014 at 19:01,215.899,-10.072
M,6.9,18 December 2014 at 21:58,216.273,-10.171
M,1.3,19 December 2014 at 09:44,242.724,-17.278
M,1.2,21 December 2014 at 07:32,239.567,-17.459
M,2.2,27 December 2014 at 02:16,164.166,-12.034
M,1.1,03 January 2015 at 09:47,1.978,-6.253
M,1.3,04 January 2015 at 15:36,2.057,-6.349
M,5.6,13 January 2015 at 04:24,320.96,6.653
M,4.9,13 January 2015 at 04:58,320.975,6.613
M,2.2,14 January 2015 at 12:58,319.026,6.169
M,1.4,22 January 2015 at 04:52,51.33,-10.814
M,1.1,26 January 2015 at 16:53,47.57,-10.259
M,1.4,28 January 2015 at 04:41,47.017,-10.329
M,2.1,29 January 2015 at 11:42,46.135,-10.632
M,2.0,30 January 2015 at 00:44,46.014,-10.714
M,1.7,30 January 2015 at 05:36,45.992,-10.699
M,2.4,30 January 2015 at 12:16,330.161,7.5
M,1.2,04 February 2015 at 02:15,329.48,7.331
M,2.4,09 February 2015 at 23:35,284.888,-8.155
M,2.4,09 February 2015 at 23:35,188.05,11.516
M,3.0,06 March 2015 at 04:57,199.859,-15.507
M,9.2,07 March 2015 at 22:22,195.189,-17.037
M,4.5,09 March 2015 at 14:33,194.959,-17.295
M,5.8,09 March 2015 at 23:53,194.845,-17.311
M,5.1,10 March 2015 at 03:24,194.808,-17.368
M,2.9,11 March 2015 at 00:02,194.372,-17.374
M,3.2,12 March 2015 at 04:46,194.399,-17.127
