class,level,time,latitude,longitude
C,1.5,19 June 2011 at 16:36,130.104,-17.1624
C,2.1,03 July 2011 at 11:00,25.3579,16.2896
C,1.0,07 July 2011 at 02:48,351.911,17.2902
C,3.0,08 July 2011 at 09:48,267.851,-18.8879
C,2.8,08 July 2011 at 11:48,267.967,-18.8739
C,3.1,08 July 2011 at 13:36,268.011,-18.8324
C,2.3,08 July 2011 at 15:00,268.057,-18.7867
C,1.9,12 July 2011 at 14:48,268.001,-18.6792
C,2.6,11 July 2011 at 11:00,242.172,-16.7046
C,1.0,18 July 2011 at 10:24,137.856,-22.8322
C,1.6,27 July 2011 at 22:12,65.7138,18.0249
C,1.9,28 July 2011 at 07:00,65.6424,18.0120
C,1.2,26 July 2011 at 03:36,-3.32424,18.8106
C,3.8,26 July 2011 at 22:36,-3.16366,19.2064
C,3.0,27 July 2011 at 02:00,-3.10326,19.2662
C,3.0,27 July 2011 at 06:36,-3.00594,19.3446
C,3.0,27 July 2011 at 10:00,-3.04967,19.3790
C,3.6,27 July 2011 at 11:36,-3.01373,19.4258
C,2.0,27 July 2011 at 12:48,-2.93451,19.4567
C,2.0,27 July 2011 at 13:12,-2.92509,19.4532
C,2.3,27 July 2011 at 21:24,-2.56631,19.4879
C,2.5,27 July 2011 at 22:00,-2.56878,19.4997
C,2.5,28 July 2011 at 00:24,-2.50149,19.5133
C,5.2,28 July 2011 at 02:24,-2.39289,19.4754
C,2.2,28 July 2011 at 04:48,-2.30505,19.4811
C,1.6,28 July 2011 at 05:12,-2.28015,19.4856
